nemultumiri_sist_fiscal,schimbari_sist_fiscal,ce_ofera_sistemul,nemultumiri_sist_fiscal_sentiment,schimbari_sist_fiscal_sentiment,ce_ofera_sistemul_sentiment,nemultumiri_sist_fiscal_prep,schimbari_sist_fiscal_prep,ce_ofera_sistemul_prep
Dezechilibrele ,Nu m-am gândit niciodată la asta.,Nu m-am interesat in legătura cu subiectul . ,0,1,0,dezechilibr,m am gandit niciod asta,m am interes legatur subiect
Interesul persoanelor din sistem ,Nu,Nu multe ,1,0,0,interes persoan sist,,mult
Nimic,Nimic,Informații utile ,0,0,1,nimic,nimic,informat uti
-,-,-,1,1,1,,,
Sprijinul agenților economici privat ,"Modul de abordare al statului către contribuabil, crearea unor sisteme pentru a sprijini cetățenii și agenții economici. ",Bătăi de cap,0,1,0,sprijin agent econom privat,mod abord stat catr contribu crear unor sistem pentru sprijin cetaten agent econom,bata
Taxele si impozitele,"O mai buna colaborare cu cetatenii, si avantajate pentru acestia",Combaterea evaziunii fiscale,1,1,0,tax impoz,bun colabor cetaten avantaj pentru acest,combat evaziun fiscal
Taxele si impozitele,O mai bună transparenta,Politici economice și sociale,1,1,1,tax impoz,bun transparent,polit econom social
-,-,"Asigurarea învățământului, sănătății, cultura, stimulează buna desfășurare a agenților economici",1,1,1,,,asigur invatamant sanatat cultur stimul bun desfasur agent econom
Nu mă nemulțumește nimic ,Nu as schimba nimic,Multe informații ,0,0,1,nemultumest nimic,schimb nimic,mult informat
Taxe mari,Taxele,presupune ca toate persoanele fizice și/sau juridice care realizează venituri dintr-o anumită sursă sau posedă un anumit gen de avere să participe prin impozite la constituirea fondurilor generale ale statului;,0,0,0,tax mar,tax,presupun toat persoan fizic si s jurid car realiz venitur dintr o anum surs posed anum aver particip prin impoz constitu fondur general stat
Nimic,Nimic.,.,0,0,1,nimic,nimic,
Lipsa transparentei,Cam totul,Protecție economica,0,0,1,lips transparente,tot,protect econom
Prea multe taxe ,Nu,"Prin plata impozitelor, taxelor beneficiem cu toții de Finanțări ale unor obiective ",0,0,0,pre mult tax,,prin plat impoz tax benefic tot finantar unor obiect
-,-,Ne oferă servicii de protecție socială ,1,1,0,,,ofer servic protect social
Una dintre cele mai reduse cote din Europa la impozitul pe venitul persoanelor fizice  ,Limitarea deductibilitatii costurilor excedentare,Ele finanteaza serviciile publice ,1,0,1,dintr cel redus cot europ impoz venit persoan fizic,limit deductibil costur excedent,finanteaz servic public
Nu ii cert ,-,-,0,1,1,cert,,
Nimic  ,...,...,0,0,0,nimic,,
-,Nimic,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat.,1,0,0,,nimic,creeaz sentiment plat serviciu public car benefic moment
Nimic,Nu,În prezent nimic,0,0,0,nimic,,prezent nimic
Tot. ,Tot. ,Nimic,1,1,0,,,nimic
Nu este la fel de corect pe cum ar trebui sa fie. Oamenii sunt influențați ușor de statut și de mită.,"Dacă as fi ministrul Finanțelor publice probabil as începe prin schimbarea unor măsuri deja existente, ca de exemplu modul de “colectare” a banilor, deoarece in zilele noastre dacă ai pile ești scutit de taxe. Cu timpul oamenii o sa aibă mai multă încredere și o sa se poată realiza mult mai multe obiective.",Prin activitatea sa ajuta la realizarea obiectivelor politicii economice şi sociale a statului. ,0,1,1,este corect treb oamen sunt influentat usor statut mit,dac ministr finant public probabil incep prin schimb unor masur dej existent exemplu mod colect ban deoarec zil noastr dac pil esti scutit tax timp oamen aib mult incred poat realiz mult mult obiect,prin activ ajut realiz obiect polit econom social stat
Câteodată e instabilă.,Aș cheltui mai mult pentru dezvoltarea sistemului sănătății.,Facultate,0,0,1,cateod instabil,chelt mult pentru dezvolt sist sanatat,facult
nimic,nimic,Creeaza un sistem de impozitare a societatilor echitabil,0,0,1,nimic,nimic,creeaz sist impozit societ echit
"Instabilitatea, de organizarea, lipsa de profesionalism, lipsa transparentei ","Legi clare, impozite și taxe realiste ","Minimul necesar, birocrație ",0,1,1,instabil organiz lips profesionalist lips transparente,leg clar impoz tax realist,min necesar birocrat
Birocrația.,Birocrația.,Timp pierdut la ghișee.,0,0,0,birocrat,birocrat,timp pierdut ghise
Ineficienta investitiilor publice si a serviciilor oferite de stat. (bani aruncati pe geam de catre platitorii de taxe) ,"As oferi posibilitatea platii impozitelor pe profit microintreprinderilor, in loc de plata pe cifra de afaceri. ",Nu multe. ,0,0,0,ineficient invest public servic ofer stat ban arunc geam catr platit tax,ofer posibil plat impoz profit microintreprinder plat cifr afacer,mult
Impozitarea in exces,Ofeririea de servicii publice de calitate. Scaderea taxelor si a accizelor. ,Promisiunea de a imbunatatii si dezvolta infrastuctura.,0,0,0,impozit exces,oferir servic public calitat scad tax acciz,promisiun imbunat dezvolt infrastuctur
Neutru,Neutru,Neutru,0,0,0,neutru,neutru,neutru
Creșterea contributiilor la pensii si sanatate,Reducerea taxelor și impozitelor,Ne ajută la combaterea evaziunii fiscale,0,0,0,crest contrib pens sanat,reduc tax impoz,ajut combat evaziun fiscal
"NESIGURANTA, SCHIMBAREA CONTINUA A LEGILOR","NU STAPANESC INFORMATIILE ECONOMICE SUFICIENT DE BINE CA SA FIU CAPABILA SA RASPUND LA ACEASTA INTREBARE
",INCERTITUDINEA  CA ESTE BINE ADMINISTRAT,0,0,1,nesigur schimb continu leg,stapan inform econom suficient bin capabil raspund aceast intreb,incertitudin este bin administr
Nu este corect cu toata lumea,As pune accent pe claritate si corectitudine.,Obligatii,0,1,1,este corect toat lum,pun accent claritat corectitudin,oblig
Faptul ca nu puteam avea încredere in acest sistem din țara noastră. Si ar trebui sa scadă din valoarea impozitelor și a taxelor ,As încerca sa scad din valoarea taxelor,Multe taxe ,1,0,1,fapt puteam ave incred acest sist tar noastr treb scad valoar impoz tax,incerc scad valoar tax,mult tax
"Sunt foarte puține investiții la nivel național și ar fi necesara stimularea acestora, foarte puțin sprijin pentru ocuparea forței de muncă, pentru șomeri, studenți sau indiferent de caz. ","Aș încerca să stimulez cât mai multe investiții pentru creșterea locurilor de munca și nu numai, crearea unui trai mai bun pentru oameni ca să nu mai fie nevoiți sa părăsească țara pentru locuri de munca mai bine plătite ",. ,0,0,1,sunt foart putin investit nivel national necesar stimul acestor foart putin sprijin pentru ocup forte munc pentru somer student indiferent,incerc stimul mult investit pentru crest locur munc numa crear unu tra pentru oamen nevoit paras tar pentru locur munc bin platit,
Taxele,Impozitele ,Impozite și taxe,0,1,1,tax,impoz,impoz tax
Nimic,Nimic,Incredere,0,0,1,nimic,nimic,incred
"În România, veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte",Impunerea de constrângeri tari rău-platnicilor și diminuarea nivelului impozitelor pe partea de venituri ,"Un nivel prea mic de stabilitate, transparenţă şi predictabilitate",1,0,0,roman venitur fiscal buget sunt dependent venitur tax impoz indirect,impun constranger tar rau platn diminu nivel impoz part venitur,nivel pre stabil transparent predict
Alocarea de fonduri,Cresterea eficientei alocarii de fonduri,Cote relativ mici la impozite,0,0,0,aloc fondur,crest eficiente alocar fondur,cot relat mic impoz
Nu oferă destule facilități. ,Aș încuraja mai mult tinerii prin subvenții și alte stimulente să rămână și să deschidă afaceri în țară și să nu migreze.,Mai multe constrângeri decât facilități ,0,1,1,ofer destul facilitat,incuraj mult tiner prin subvent alte stimulent raman deschid afacer tar migr,mult constranger decat facilitat
"Nu am avut prea multa tangenta cu el, asadar nu am nimic de adaugat.","Organizarea,modul de operare",Nimic.,0,1,0,avut pre mult tangent asadar nimic adaug,organiz mod oper,nimic
"Faptul că nu există o  transparență totală, plata de taxe și impozite nu îți garantează o siguranță în anumite aspecte pe viitor.",Accentul trebuie pus pe creșterea veniturilor iar cheltuielile să rămână la un nivel acceptabil.,"Sistemul fiscal actual oferă taxe și impozite ridicate, cheltuieli mult prea mari pentru nivelul venitului pe cap de locuitor. Instabilitate economică",0,0,0,fapt exist transparent total plat tax impoz garant sigurant anum aspect viitor,accent trebui crest venitur cheltuiel raman nivel accept,sist fiscal actual ofer tax impoz ridic cheltuiel mult pre mar pentru nivel venit locuit instabil econom
totul,multe lucruri , nimic ,1,1,0,tot,mult lucrur,nimic
"Faptul că plătim taxe și impozite mult prea mari ,în comparație cu salariile din România.",Aș încerca să găsesc un echilibru între taxe și impozite și facilitățile oferite cetățenilor,Multe taxe ,0,0,1,fapt plat tax impoz mult pre mar comparat salar roman,incerc gasesc echilibru intre tax impoz facilitat ofer cetaten,mult tax
Inflația si costurile de finanțare ridicate descurajează investițiile și generează pierderi in mediul de afaceri ,"Politica fiscală din Romania are nevoie  de mai multă stabilitate si transparență.
Eu aș micșora taxele si impozitele deoarece acestea sunt o povară pe umerii contribuabililor ",TAXE PREA MARI ,0,0,0,inflat costur finant ridic descuraj investit gener pierder med afacer,polit fiscal roman nevoi mult stabil transparent micsor tax impoz deoarec acest sunt povar umer contribu,tax pre mar
"La sistemul  fiscal românesc mă nemulțumesc contribuțiile sociale ale angajatului, care din punctul meu de vedere au un procent prea mare.","Dacă aș fi în această poziție, aș micșora contribuțiile sociale ale angajatului. ","În opinia mea, sistemul fiscal actual îmi oferă o mulțime de taxe și impozite. ",0,0,0,sist fiscal roman nemultum contribut social angaj car punct veder procent pre mar,dac aceast pozit micsor contribut social angaj,opin sist fiscal actual ofer multim tax impoz
-,-,-,1,1,1,,,
prea multa birocratie,relatia dintre insitutie si contribuabil,ofera prea putine facilitati contribuabililor.,0,1,0,pre mult birocrat,relat dintr insitut contribu,ofer pre putin facil contribu
creşterea numărului de taxe,"Reducerea taxelor, dar şi scăderea TV-ului",Puţină siguranţa pe cât ar trebui contribuabililor,0,0,0,crest numar tax,reduc tax scad tv ul,putin sigurant treb contribu
birocratia ,as reduce numarul taxelor si as incuraja investitiile ,prea putine facilitati contribuabililor ,0,1,0,birocrat,reduc numar tax incuraj invest,pre putin facil contribu
"Transparența foarte mică, birocrația.","Crearea unui sistem centralizat,  transparent, online, unde fiecare cetățean poate vedea pe ce sunt cheltuiți banii publici.", - ,0,0,1,transparent foart mic birocrat,crear unu sist centraliz transparent onlin unde fiec cetatean poat ved sunt cheltuit ban public,
-,-,-,1,1,1,,,
Nu am un raspuns. Probabil dupa ce voi studia mai multe despre.,Nu am un raspuns. Probabil dupa ce voi studia mai multe despre.,Nu am un raspuns. Probabil dupa ce voi studia mai multe despre.,1,1,1,raspuns probabil dup stud mult despr,raspuns probabil dup stud mult despr,raspuns probabil dup stud mult despr
-,-,-,1,1,1,,,
Țara noastră are una dintre cele mai reduse cote din Europa la impozitul pe venitul persoanelor fizice.,impozitul total pe profitul companiilor,Dezechilibrarea veniturilor,1,0,0,tar noastr dintr cel redus cot europ impoz venit persoan fizic,impoz total profit compan,dezechilibr venitur
este foarte haotic.,"realizarea unui sistem mai bine pus la punct, un personal calificat .","foarte putine facilitati pentru studenti sau persoane nevoiase, elevi.",1,1,0,este foart haotic,realiz unu sist bin punct personal calific,foart putin facil pentru student persoan nevoi elev
modul de investitie a banilor in tara si in dezvoltarea ei,"modul de administrare a banilor, explicatia flosirii banilor intr-un mod mai explicit pentru popor la nivel national, cautarea unei ridicari financiare a tarii","sistemul fiscal ofera o oarecare siguranta ca in momentul in care ramai fara unn job, vei avea totusi un minim de venit",1,0,0,mod investit ban tar dezvolt,mod administr ban explicat flosir ban intr un explic pentru popor nivel national caut une ridicar financiar tar,sist fiscal ofer oarec sigur moment car rama far ave totus min venit
Sumele provenite din taxe si impozite nu sunt directionate eficient.,Verificarea cat mai drastica a modului in care sunt cheltuiti banii publici.,Siguranta zilei de maine.,0,0,1,sum proven tax impoz sunt direction eficient,verific drastic mod car sunt cheltuit ban public,sigur zile main
"Pe mine mă nemulțumește faptul că unele taxe sunt prea mari pentru țara în care trăim.Spre exemplu, dacă te angajezi undeva statul ia aproape jumătate din salariul tău, ceea ce nu mi se pare corect... Mi s- ar părea în regulă să ia undeva la 20% , dar nu chiar atât de mult. Mai sunt și alte taxe mari la noi, și sper ca într-o bună zi să putem să ne descurcăm și cu minimul pe economie. ","La această întrebare mi-e greu să răspund, datorită faptului că nu sunt atât de bine documentată încă în ceea ce privește sistemul fiscal. Probabil, aș reduce unele taxe, care sunt prea mari pentru țara în care trăim.","Pot să spun că acest sistem oferă stabilitate, și da, avem nevoie de el, altfel ar fi haos.",0,0,0,min nemultumest fapt une tax sunt pre mar pentru tar car traim spr exemplu dac angaj undev stat aproap jumat salar cee par corect par regul undev chiar atat mult sunt alte tax mar sper intr o bun put descurc min econom,aceast intreb mi greu raspund dator fapt sunt atat bin document inca cee privest sist fiscal probabil reduc une tax car sunt pre mar pentru tar car tra,spun acest sist ofer stabil avem nevoi altfel haos
